feature_id,timestamp,pod_name,service_name,namespace,scenario_tag,memory_current_mb,memory_limit_mb,memory_ratio_current,memory_avg_5s,memory_avg_10s,memory_avg_30s,memory_slope_5s,memory_slope_10s,memory_slope_30s,memory_std_30s,cpu_current_mcores,cpu_avg_5s,cpu_avg_10s,cpu_avg_30s,cpu_slope_10s,error_rate_current,error_rate_avg_5s,error_rate_avg_30s,error_rate_slope_10s,request_rate_current,request_rate_avg_30s,request_rate_slope_10s,latency_p95_current,latency_p95_avg_30s,latency_p95_slope_10s,restart_count,deployment_age_minutes,recent_deployment_flag
auth-api-6d1a0_30,2026-07-13T09:00:30+00:00,auth-api-6d1a0,auth-api,auth,normal_with_small_noise,214.12,512,0.418203125,212.56,211.148,211.1383333333333,0.5889999999999963,0.1056969696969707,0.1511167964404859,7.914321842702952,158.44,193.058,180.799,184.36433333333332,3.0599393939393984,0.0,0.06999999999999999,0.06466666666666666,-0.019878787878787874,76.85,77.82300000000001,-0.6546666666666643,120.39,114.46866666666666,-0.15218181818181648,0,1470,0
auth-api-6d1a0_31,2026-07-13T09:00:31+00:00,auth-api-6d1a0,auth-api,auth,normal_with_small_noise,200.58,512,0.3917578125,211.344,209.94,210.4836666666666,-3.5770000000000284,-0.36993939393939296,0.14563070077863138,7.949413981148432,201.81,195.546,185.054,184.49666666666664,2.7700606060606066,0.04,0.034,0.064,-0.00878787878787879,68.43,77.60566666666665,-0.8267272727272716,135.2,115.26966666666665,1.4020606060606047,0,1471,0
auth-api-6d1a0_32,2026-07-13T09:00:32+00:00,auth-api-6d1a0,auth-api,auth,normal_with_small_noise,214.06,512,0.4180859375,210.57000000000002,210.025,211.041,-1.0580000000000092,0.07278787878788416,0.07805784204671444,7.573360457596724,185.63,197.228,183.327,184.90433333333334,3.991212121212121,0.0,0.008,0.064,-0.004848484848484842,65.56,77.24366666666667,-0.9201212121212108,111.64,115.66699999999999,1.6880606060606076,0,1472,0
auth-api-6d1a0_33,2026-07-13T09:00:33+00:00,auth-api-6d1a0,auth-api,auth,normal_with_small_noise,197.73,512,0.38619140625,207.07800000000003,208.44400000000002,210.8543333333333,-2.240000000000002,-0.3635151515151444,-0.06099888765295291,7.834485518100939,196.58,192.43800000000002,186.51999999999998,186.1413333333333,3.4689696969697015,0.31,0.06999999999999999,0.07433333333333333,0.006727272727272725,68.29,76.89533333333333,-1.4895151515151517,139.27,116.969,2.5563030303030367,0,1473,0
auth-api-6d1a0_34,2026-07-13T09:00:34+00:00,auth-api-6d1a0,auth-api,auth,normal_with_small_noise,217.67,512,0.42513671875,208.83200000000002,208.96300000000002,211.31599999999997,0.42499999999996896,0.4087878787878745,-0.06553948832036131,7.813721617593077,231.07,194.706,195.123,186.62533333333332,3.133636363636368,0.0,0.06999999999999999,0.07366666666666667,-0.0010303030303030283,79.74,76.70966666666665,-0.6873939393939388,143.93,116.64599999999997,3.9433333333333374,0,1474,0
auth-api-6d1a0_35,2026-07-13T09:00:35+00:00,auth-api-6d1a0,auth-api,auth,normal_with_small_noise,199.44,512,0.38953125,205.89600000000002,209.228,211.0163333333333,0.13299999999998033,-0.9221818181818261,-0.162062291434931,8.095527706738748,169.6,196.938,194.998,186.07266666666663,0.12327272727272283,0.0,0.06999999999999999,0.07366666666666667,-0.007878787878787881,80.28,76.62433333333334,0.5816969696969704,92.9,115.88366666666666,1.3116969696969718,0,1475,0
auth-api-6d1a0_36,2026-07-13T09:00:36+00:00,auth-api-6d1a0,auth-api,auth,normal_with_small_noise,209.46,512,0.4091015625,207.67199999999997,209.50799999999998,210.96333333333328,-0.7490000000000069,-1.0807272727272763,-0.1718709677419411,8.100502893428086,184.22,193.42000000000002,194.48299999999998,187.04133333333337,-0.8398181818181812,0.18,0.098,0.07933333333333333,0.008121212121212112,69.42,76.33066666666667,0.12006060606060606,117.22,115.28733333333331,-1.0500606060606084,0,1476,0
auth-api-6d1a0_37,2026-07-13T09:00:37+00:00,auth-api-6d1a0,auth-api,auth,normal_with_small_noise,203.4,512,0.397265625,205.54000000000002,208.055,210.815,0.3129999999999872,-0.8524242424242299,-0.24213793103448844,8.199615949795328,180.59,192.412,194.82,187.13700000000003,-2.748484848484849,0.17,0.132,0.083,0.018060606060606058,69.92,75.86500000000001,0.3701818181818218,149.83,115.09699999999998,0.17103030303030864,0,1477,0
auth-api-6d1a0_38,2026-07-13T09:00:38+00:00,auth-api-6d1a0,auth-api,auth,normal_with_small_noise,213.47,512,0.41693359375,208.68800000000002,207.88299999999998,211.19466666666665,-0.4439999999999939,-0.08139393939393799,-0.28525027808677117,8.043420413855229,181.42,189.38,190.909,185.45033333333333,-1.7653939393939373,0.1,0.09,0.08633333333333335,0.015030303030303034,74.62,75.71033333333334,0.6615757575757598,115.34,114.57566666666665,-0.8787272727272692,0,1478,0
auth-api-6d1a0_39,2026-07-13T09:00:39+00:00,auth-api-6d1a0,auth-api,auth,normal_with_small_noise,207.9,512,0.4060546875,206.734,207.783,211.53799999999995,2.0929999999999622,-0.01266666666666565,-0.4002625139043438,7.65349881674591,213.27,185.82,190.263,186.2466666666667,1.3756969696969723,0.27,0.144,0.09533333333333333,0.020060606060606057,75.01,75.159,0.3181818181818183,114.42,114.97666666666666,-0.7210909090909065,0,1479,0
